epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
129,72490.7,2.26224,2.82482,0.01115,0.4375,0.16609,0.15231,0.0919,2.34281,3.11732,0.01157,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227
130,72953.8,2.2597,2.81893,0.01118,0.43925,0.16656,0.15258,0.09207,2.34153,3.11812,0.01157,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
131,73422.5,2.25702,2.80918,0.01107,0.43917,0.16616,0.15275,0.0922,2.34109,3.11912,0.01157,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
132,73896.9,2.25245,2.80604,0.01104,0.43966,0.16659,0.15286,0.09234,2.34045,3.11987,0.01156,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777
133,74363.7,2.25342,2.79806,0.01105,0.43892,0.16612,0.15303,0.0924,2.33998,3.1204,0.01156,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
134,74841,2.25408,2.79191,0.01105,0.43964,0.16646,0.1531,0.09252,2.33969,3.12037,0.01155,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454
135,75295.8,2.24597,2.79503,0.01103,0.43799,0.16613,0.15316,0.09258,2.33905,3.12107,0.01155,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337,0.00112601,0.000375337
136,75741.1,2.24599,2.78762,0.01102,0.43668,0.16627,0.1532,0.09259,2.33909,3.12113,0.01155,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
137,76178.7,2.24456,2.78167,0.011,0.43523,0.1664,0.15317,0.09261,2.33898,3.12259,0.01156,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268,0.000933805,0.000311268
138,76628.7,2.24639,2.7781,0.01101,0.43566,0.16656,0.15292,0.09252,2.33944,3.12282,0.01156,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345,0.000847036,0.000282345
139,77066.4,2.24146,2.77557,0.01099,0.43484,0.16679,0.15308,0.0925,2.33949,3.12325,0.01156,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
140,77505.1,2.23865,2.76768,0.01093,0.43401,0.16694,0.1531,0.09251,2.3398,3.12378,0.01157,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784,0.000692353,0.000230784
141,77935.8,2.24238,2.76879,0.01092,0.43589,0.16676,0.15312,0.09248,2.34089,3.12418,0.01157,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169,0.000624508,0.000208169
142,78365.1,2.23912,2.77122,0.01096,0.43495,0.16702,0.15315,0.09244,2.3412,3.12489,0.01157,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
143,78799.6,2.24516,2.76534,0.01094,0.43366,0.16682,0.15301,0.09231,2.34118,3.12641,0.01157,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932,0.000507959,0.00016932
144,79236.5,2.23791,2.76265,0.01091,0.43553,0.16657,0.15295,0.09219,2.34206,3.12731,0.01158,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102,0.000459306,0.000153102
145,79672.6,2.23707,2.76116,0.0109,0.43551,0.16686,0.15314,0.09226,2.3421,3.12787,0.01158,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
146,80109.2,2.24048,2.75922,0.01092,0.43625,0.16653,0.15308,0.09219,2.34274,3.12937,0.01158,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117,0.00038135,0.000127117
147,80544.1,2.23666,2.7615,0.01091,0.43792,0.16631,0.15305,0.0921,2.34332,3.12996,0.01158,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736,0.000352081,0.00011736
148,80975.4,2.23778,2.75968,0.01091,0.43636,0.16652,0.15313,0.09204,2.34361,3.13125,0.01159,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
149,81401.9,2.23709,2.75653,0.01092,0.43766,0.16656,0.15295,0.09194,2.34387,3.13224,0.01159,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342,0.000313026,0.000104342
150,81818.4,2.23809,2.75561,0.01092,0.43622,0.1668,0.15303,0.09193,2.34489,3.13287,0.01161,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086,0.000303257,0.000101086
