epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,16570.9,2.40328,3.23235,0.01141,0.40269,0.15915,0.13217,0.07595,2.42214,3.19919,0.01211,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,17036.4,2.39942,3.23507,0.01146,0.39355,0.15894,0.13266,0.07637,2.42188,3.19549,0.01211,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,17510.6,2.39681,3.23795,0.01144,0.39338,0.15925,0.13302,0.07686,2.41867,3.19337,0.01208,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,20180.9,2.39931,3.2149,0.01134,0.3909,0.16008,0.13409,0.07715,2.41743,3.19127,0.01208,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,20655.9,2.38974,3.2246,0.01138,0.38294,0.16053,0.13428,0.07735,2.41624,3.18998,0.01206,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,21122.5,2.38355,3.21387,0.0113,0.38538,0.16106,0.13446,0.07748,2.4137,3.18933,0.01203,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,21589.3,2.38832,3.22043,0.01134,0.38337,0.16143,0.13479,0.07753,2.41262,3.1881,0.012,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,22052,2.38583,3.19575,0.01127,0.38156,0.16156,0.13484,0.0777,2.41258,3.18631,0.012,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,22518.4,2.38896,3.20433,0.01132,0.38236,0.16106,0.1352,0.07788,2.4126,3.18501,0.01198,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,23042.9,2.38568,3.194,0.01128,0.379,0.16191,0.13544,0.07833,2.4123,3.18421,0.01197,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,23464.8,2.38714,3.20902,0.01129,0.38343,0.16162,0.13586,0.07857,2.4123,3.18278,0.01196,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,23893.1,2.37751,3.20135,0.01124,0.38165,0.16149,0.13585,0.07867,2.41153,3.18206,0.01196,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,24345.5,2.37301,3.18401,0.01118,0.37888,0.1617,0.13604,0.07878,2.40996,3.18092,0.01195,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,24767.9,2.37311,3.18869,0.01123,0.37448,0.16163,0.1361,0.0789,2.40812,3.17926,0.01193,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,25197.3,2.36983,3.18768,0.01124,0.3756,0.16183,0.13655,0.07913,2.40642,3.17774,0.01193,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,25672.4,2.36518,3.17428,0.01119,0.37904,0.16169,0.13703,0.07934,2.40433,3.17668,0.0119,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,26131.6,2.36932,3.17586,0.01117,0.37838,0.16136,0.13721,0.07951,2.40441,3.17564,0.01191,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,26749.3,2.36718,3.18168,0.01117,0.38112,0.16138,0.13729,0.07949,2.4048,3.17397,0.01192,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,27210.8,2.36383,3.16909,0.01112,0.38324,0.16118,0.13745,0.07976,2.40399,3.1734,0.01192,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,27844.7,2.37113,3.18929,0.01124,0.38795,0.16191,0.13773,0.07997,2.40355,3.17151,0.01193,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
50,28302,2.36753,3.15598,0.0111,0.38907,0.16171,0.13805,0.0802,2.40256,3.16964,0.01191,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423,0.0228427,0.00761423
51,28793.4,2.36842,3.17524,0.01118,0.3878,0.16173,0.13821,0.08042,2.40197,3.16869,0.0119,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,29253.4,2.36341,3.15631,0.01107,0.3904,0.16176,0.1385,0.08061,2.40103,3.16812,0.01188,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,29735.3,2.35183,3.14923,0.01111,0.39247,0.16206,0.13883,0.08084,2.39991,3.16669,0.01189,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,30236,2.36013,3.15278,0.01109,0.3944,0.16294,0.13928,0.08111,2.39938,3.1654,0.01189,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,30788.2,2.35745,3.15223,0.01104,0.39684,0.16281,0.13958,0.0813,2.39818,3.16408,0.0119,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,31244.7,2.35241,3.15333,0.01103,0.39462,0.16324,0.1397,0.0815,2.39648,3.16336,0.01189,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,31743.1,2.34699,3.13397,0.01101,0.39213,0.16318,0.14009,0.08182,2.39486,3.1617,0.01188,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,32208.6,2.34932,3.13325,0.01096,0.39653,0.16389,0.14035,0.08197,2.39402,3.15981,0.01187,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,32716.9,2.34463,3.13276,0.01099,0.39853,0.16422,0.1407,0.08209,2.39425,3.15919,0.01188,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,33215,2.34599,3.13988,0.01103,0.3987,0.16399,0.14099,0.08236,2.39321,3.15766,0.01187,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,33687.6,2.3481,3.14312,0.01103,0.40196,0.16388,0.1413,0.08265,2.39198,3.15716,0.01187,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,34148.8,2.33602,3.12099,0.01096,0.40375,0.16379,0.14147,0.0828,2.39178,3.1561,0.01187,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,34607,2.3426,3.11819,0.01097,0.40421,0.16343,0.1419,0.08306,2.39014,3.15459,0.01186,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,35067.5,2.35054,3.12807,0.01094,0.40535,0.16312,0.14204,0.08308,2.38964,3.15301,0.01186,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,35543.5,2.34041,3.12214,0.01096,0.40953,0.16329,0.14241,0.08336,2.38749,3.15165,0.01184,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,36004.6,2.3346,3.11215,0.0109,0.41008,0.16371,0.14255,0.08355,2.38654,3.15024,0.01184,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,36504.8,2.33806,3.10395,0.01091,0.41143,0.16358,0.14282,0.08364,2.38547,3.14896,0.01183,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
68,36999.7,2.34275,3.12394,0.01093,0.41245,0.16336,0.14298,0.08383,2.38432,3.14707,0.01183,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551,0.0176265,0.00587551
69,37516.9,2.32898,3.10182,0.01089,0.41523,0.16362,0.1432,0.08405,2.38394,3.14444,0.01182,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311,0.0173193,0.00577311
70,37991.6,2.33223,3.1043,0.01088,0.41371,0.16377,0.14348,0.08433,2.38143,3.14387,0.0118,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
71,38458.4,2.33164,3.08964,0.01084,0.40914,0.16369,0.14397,0.08456,2.38093,3.14241,0.01179,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742,0.0167022,0.00556742
72,38918.8,2.34268,3.10998,0.01088,0.41385,0.16324,0.14412,0.08472,2.38051,3.14124,0.01179,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421,0.0163926,0.00546421
73,39395.2,2.32984,3.09016,0.01077,0.40908,0.16412,0.14431,0.08489,2.38003,3.13964,0.01179,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
74,39852.3,2.3312,3.10163,0.01084,0.40839,0.16449,0.1445,0.085,2.37923,3.1387,0.01178,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,40319.6,2.32428,3.09727,0.0108,0.4087,0.16435,0.14461,0.08517,2.37739,3.13734,0.01176,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,43221.3,2.31657,3.07837,0.01081,0.40519,0.16467,0.14491,0.08539,2.37552,3.13615,0.01174,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,43712.5,2.32394,3.09234,0.01079,0.40518,0.1648,0.14511,0.08556,2.3742,3.13473,0.01175,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,44183.3,2.31842,3.06982,0.01077,0.40405,0.16565,0.14519,0.08565,2.37246,3.13441,0.01174,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,44636.7,2.31297,3.06277,0.01073,0.40531,0.1657,0.1455,0.08589,2.37166,3.13239,0.01174,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,45105,2.31538,3.05359,0.01065,0.40577,0.16575,0.14563,0.08604,2.37074,3.13103,0.01173,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,45711.5,2.31059,3.05979,0.0107,0.40854,0.16554,0.14573,0.08613,2.36953,3.12929,0.01173,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,46168.4,2.3186,3.07993,0.01081,0.40875,0.16547,0.14589,0.08638,2.36873,3.12873,0.01172,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,46637.3,2.30908,3.05722,0.01067,0.41006,0.16537,0.14617,0.08659,2.36802,3.12791,0.01171,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,47163.5,2.30523,3.05104,0.01065,0.41312,0.16536,0.14675,0.08707,2.36808,3.12583,0.01173,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,47838.6,2.30791,3.06232,0.01073,0.41065,0.16596,0.14693,0.08718,2.36773,3.12485,0.01172,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,48335.4,2.30786,3.04618,0.01061,0.41018,0.16629,0.14725,0.0875,2.36668,3.12316,0.01172,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,48812,2.29457,3.03053,0.01063,0.4147,0.16634,0.14753,0.08775,2.36615,3.1213,0.01172,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,49286,2.30875,3.03413,0.01058,0.41146,0.1668,0.14777,0.08786,2.36571,3.12055,0.01172,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,49772.5,2.30319,3.03385,0.01059,0.41469,0.16646,0.14815,0.0881,2.36442,3.11952,0.01172,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,50260,2.29479,3.0247,0.01058,0.41436,0.16718,0.14823,0.08819,2.36368,3.11786,0.01171,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,50816.7,2.29273,3.01645,0.01055,0.41489,0.16719,0.14857,0.08838,2.36215,3.11739,0.0117,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,52787.9,2.28817,3.01747,0.01056,0.41466,0.16786,0.14875,0.0885,2.36066,3.11759,0.01167,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,53298.3,2.28674,3.00916,0.01052,0.41609,0.16768,0.14884,0.08867,2.35863,3.1164,0.01168,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,53795.5,2.28742,3.01309,0.01052,0.41586,0.16806,0.14922,0.08899,2.35614,3.1166,0.01165,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,54314,2.29245,3.00597,0.01049,0.42138,0.16785,0.1495,0.08925,2.3563,3.11529,0.01166,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,54854.9,2.27877,2.99796,0.01048,0.42147,0.16757,0.14961,0.08944,2.35654,3.11383,0.01167,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
